TABLE|POLICY_TYPE|POLICY_NAME|MIGRATION_FILE
POLICY|SELECT|Users|004_life_weeks_schema.sql
POLICY|INSERT|Users|004_life_weeks_schema.sql
POLICY|UPDATE|Users|004_life_weeks_schema.sql
POLICY|DELETE|Users|004_life_weeks_schema.sql
POLICY|SELECT|Users|005_users_birth_date.sql
POLICY|UPDATE|Users|005_users_birth_date.sql
POLICY|INSERT|Users|005_users_birth_date.sql
POLICY|SELECT|Users|006_fix_users_permissions.sql
POLICY|UPDATE|Users|006_fix_users_permissions.sql
POLICY|INSERT|Users|006_fix_users_permissions.sql
POLICY|SELECT|Users|20241207_create_gamification_tables.sql
POLICY|INSERT|Users|20241207_create_gamification_tables.sql
POLICY|UPDATE|Users|20241207_create_gamification_tables.sql
POLICY|SELECT|Users|20241207_create_gamification_tables.sql
POLICY|INSERT|Users|20241207_create_gamification_tables.sql
whatsapp_user_activity|SELECT|Users|20250101_whatsapp_gamification_tracking.sql
whatsapp_user_activity|INSERT|Users|20250101_whatsapp_gamification_tracking.sql
finance_transactions|SELECT|Users|20251203_finance_module.sql
finance_transactions|INSERT|Users|20251203_finance_module.sql
finance_transactions|UPDATE|Users|20251203_finance_module.sql
finance_transactions|DELETE|Users|20251203_finance_module.sql
POLICY|SELECT|Membros|20251203_fix_rls_recursion_and_missing_columns.sql
POLICY|ALL|Acesso|20251203_fix_rls_recursion_and_missing_columns.sql
public.daily_reports|public.daily_reports|daily_reports_select|20251204_add_daily_reports_rls.sql
public.daily_reports|public.daily_reports|daily_reports_insert|20251204_add_daily_reports_rls.sql
public.daily_reports|public.daily_reports|daily_reports_update|20251204_add_daily_reports_rls.sql
public.daily_reports|public.daily_reports|daily_reports_delete|20251204_add_daily_reports_rls.sql
public.daily_reports|public.daily_reports|daily_reports_service_role_all|20251204_add_daily_reports_rls.sql
public.association_members|public.association_members|association_members_select|20251204_fix_association_members_rls.sql
public.association_members|public.association_members|association_members_insert|20251204_fix_association_members_rls.sql
public.association_members|public.association_members|association_members_update|20251204_fix_association_members_rls.sql
public.association_members|public.association_members|association_members_delete|20251204_fix_association_members_rls.sql
public.association_members|public.association_members|association_members_select|20251204_fix_association_members_rls_v2.sql
public.association_members|public.association_members|association_members_insert|20251204_fix_association_members_rls_v2.sql
public.association_members|public.association_members|association_members_update|20251204_fix_association_members_rls_v2.sql
public.association_members|public.association_members|association_members_delete|20251204_fix_association_members_rls_v2.sql
public.daily_reports|public.daily_reports|daily_reports_select|20251204_fix_daily_reports_schema_and_rls.sql
public.daily_reports|public.daily_reports|daily_reports_insert|20251204_fix_daily_reports_schema_and_rls.sql
public.daily_reports|public.daily_reports|daily_reports_update|20251204_fix_daily_reports_schema_and_rls.sql
public.daily_reports|public.daily_reports|daily_reports_delete|20251204_fix_daily_reports_schema_and_rls.sql
public.daily_reports|public.daily_reports|daily_reports_service_role_all|20251204_fix_daily_reports_schema_and_rls.sql
public.associations|public.associations|associations_select_v2|20251204_professional_rls_architecture.sql
public.associations|public.associations|associations_update_v2|20251204_professional_rls_architecture.sql
public.associations|public.associations|associations_delete_v2|20251204_professional_rls_architecture.sql
public.association_members|public.association_members|association_members_select_v2|20251204_professional_rls_architecture.sql
public.google_calendar_tokens|SELECT|Users|20251205_google_calendar_integration.sql
public.google_calendar_tokens|INSERT|Users|20251205_google_calendar_integration.sql
public.google_calendar_tokens|UPDATE|Users|20251205_google_calendar_integration.sql
public.google_calendar_tokens|DELETE|Users|20251205_google_calendar_integration.sql
public.podcast_guest_research|SELECT|podcast_guest_research_select|20251205_podcast_production_workflow.sql
public.podcast_guest_research|INSERT|podcast_guest_research_insert|20251205_podcast_production_workflow.sql
public.podcast_guest_research|UPDATE|podcast_guest_research_update|20251205_podcast_production_workflow.sql
public.podcast_guest_research|DELETE|podcast_guest_research_delete|20251205_podcast_production_workflow.sql
public.associations|public.associations|Users|20251206_critical_fixes_systemic_collapse.sql
public.association_members|public.association_members|Users|20251206_critical_fixes_systemic_collapse.sql
public.podcast_team_members|public.podcast_team_members|Users|20251206_critical_fixes_systemic_collapse.sql
public.podcast_team_members|public.podcast_team_members|Users|20251206_critical_fixes_systemic_collapse.sql
finance_statements|finance_statements|Users|20251206_finance_statements_complete.sql
finance_statements|finance_statements|Users|20251206_finance_statements_complete.sql
finance_statements|finance_statements|Users|20251206_finance_statements_complete.sql
finance_statements|finance_statements|Users|20251206_finance_statements_complete.sql
storage.objects|storage.objects|Users|20251206_finance_statements_complete.sql
storage.objects|storage.objects|Users|20251206_finance_statements_complete.sql
storage.objects|storage.objects|Users|20251206_finance_statements_complete.sql
moments|moments|Users|20251206_journey_redesign.sql
moments|moments|Users|20251206_journey_redesign.sql
moments|moments|Users|20251206_journey_redesign.sql
moments|moments|Users|20251206_journey_redesign.sql
weekly_summaries|weekly_summaries|Users|20251206_journey_redesign.sql
weekly_summaries|weekly_summaries|Users|20251206_journey_redesign.sql
daily_questions|daily_questions|Anyone|20251206_journey_redesign.sql
question_responses|question_responses|Users|20251206_journey_redesign.sql
question_responses|question_responses|Users|20251206_journey_redesign.sql
consciousness_points_log|consciousness_points_log|Users|20251206_journey_redesign.sql
user_consciousness_stats|user_consciousness_stats|Users|20251206_journey_redesign.sql
user_consciousness_stats|user_consciousness_stats|Users|20251206_journey_redesign.sql
llm_cache|ALL|Service|20251206_llm_infrastructure.sql
llm_metrics|SELECT|Users|20251206_llm_infrastructure.sql
llm_metrics|ALL|Service|20251206_llm_infrastructure.sql
rate_limits|SELECT|Users|20251206_llm_infrastructure.sql
rate_limits|ALL|Service|20251206_llm_infrastructure.sql
finance_agent_conversations|SELECT|Users|20251208_create_finance_agent_conversations.sql
finance_agent_conversations|INSERT|Users|20251208_create_finance_agent_conversations.sql
storage.objects|INSERT|project_sources_insert_policy|20251208_create_project_sources_bucket.sql
storage.objects|SELECT|project_sources_select_policy|20251208_create_project_sources_bucket.sql
storage.objects|UPDATE|project_sources_update_policy|20251208_create_project_sources_bucket.sql
storage.objects|DELETE|project_sources_delete_policy|20251208_create_project_sources_bucket.sql
work_items|work_items|Users|20251208_create_work_items_table.sql
work_items|work_items|Users|20251208_create_work_items_table.sql
work_items|work_items|Users|20251208_create_work_items_table.sql
work_items|work_items|Users|20251208_create_work_items_table.sql
task_categories|task_categories|Users|20251208_create_work_items_table.sql
task_categories|task_categories|Users|20251208_create_work_items_table.sql
task_categories|task_categories|Users|20251208_create_work_items_table.sql
task_categories|task_categories|Users|20251208_create_work_items_table.sql
finance_processing_logs|finance_processing_logs|Users|20251208_finance_robust_processing.sql
finance_categorization_rules|finance_categorization_rules|Users|20251208_finance_robust_processing.sql
finance_categorization_rules|finance_categorization_rules|Users|20251208_finance_robust_processing.sql
grant_project_documents|SELECT|Users|20251208_grant_project_multiple_documents.sql
grant_project_documents|INSERT|Users|20251208_grant_project_multiple_documents.sql
grant_project_documents|UPDATE|Users|20251208_grant_project_multiple_documents.sql
grant_project_documents|DELETE|Users|20251208_grant_project_multiple_documents.sql
public.podcast_generated_pautas|public.podcast_generated_pautas|Users|20251208_podcast_pautas_generated.sql
public.podcast_generated_pautas|public.podcast_generated_pautas|Users|20251208_podcast_pautas_generated.sql
public.podcast_generated_pautas|public.podcast_generated_pautas|Users|20251208_podcast_pautas_generated.sql
public.podcast_generated_pautas|public.podcast_generated_pautas|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_outline_sections|public.podcast_pauta_outline_sections|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_outline_sections|public.podcast_pauta_outline_sections|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_outline_sections|public.podcast_pauta_outline_sections|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_outline_sections|public.podcast_pauta_outline_sections|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_questions|public.podcast_pauta_questions|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_questions|public.podcast_pauta_questions|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_questions|public.podcast_pauta_questions|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_questions|public.podcast_pauta_questions|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_sources|public.podcast_pauta_sources|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_sources|public.podcast_pauta_sources|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_sources|public.podcast_pauta_sources|Users|20251208_podcast_pautas_generated.sql
public.podcast_pauta_sources|public.podcast_pauta_sources|Users|20251208_podcast_pautas_generated.sql
public.user_file_search_stores|public.user_file_search_stores|Users|20251208172500_gemini_file_search.sql
public.user_file_search_stores|public.user_file_search_stores|Users|20251208172500_gemini_file_search.sql
public.user_file_search_stores|public.user_file_search_stores|Users|20251208172500_gemini_file_search.sql
public.user_file_search_stores|public.user_file_search_stores|Users|20251208172500_gemini_file_search.sql
public.indexed_documents|public.indexed_documents|Users|20251208172500_gemini_file_search.sql
public.indexed_documents|public.indexed_documents|Users|20251208172500_gemini_file_search.sql
public.indexed_documents|public.indexed_documents|Users|20251208172500_gemini_file_search.sql
public.indexed_documents|public.indexed_documents|Users|20251208172500_gemini_file_search.sql
public.file_search_queries|public.file_search_queries|Users|20251208172500_gemini_file_search.sql
public.file_search_queries|public.file_search_queries|Users|20251208172500_gemini_file_search.sql
public.ai_generated_assets|public.ai_generated_assets|Users|20251208180000_multimodal_core_assets.sql
public.ai_generated_assets|public.ai_generated_assets|Users|20251208180000_multimodal_core_assets.sql
